"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.884919180E-1,6.588842869E0,-4.386177540E0,-1.857900500E0,8.130387323E0
6.935272360E-1,6.052541733E0,-4.520252705E0,-2.355894566E0,7.913038932E0
6.985320360E-1,6.023811340E0,-5.468356609E0,-1.982398987E0,8.373716786E0
7.035673550E-1,5.573701382E0,-6.933608055E0,-1.493981838E0,9.020701164E0
7.086026730E-1,5.228936672E0,-8.408436775E0,-9.576807022E-1,9.947901289E0
7.136379900E-1,6.100425720E0,-8.829815865E0,-1.915361285E-1,1.073394281E1
7.186427920E-1,7.383718014E0,-8.006210327E0,6.607996821E-1,1.091124886E1
7.236781100E-1,7.508216381E0,-6.722918510E0,1.264138460E0,1.015721382E1
7.287134280E-1,8.169015884E0,-5.248090267E0,9.768342972E-1,9.758559177E0
7.337182290E-1,9.490615845E0,-5.468356609E0,1.321599364E0,1.103273937E1
7.387535470E-1,1.094629002E1,-5.190629482E0,4.884171486E-1,1.212445672E1
7.437888660E-1,9.979032516E0,-4.903325081E0,9.097966552E-1,1.115577952E1
7.488241830E-1,1.108994198E1,-5.985504150E0,-9.002198577E-1,1.263421817E1
7.538289850E-1,1.003649330E1,-6.071695328E0,-1.608903527E0,1.183998533E1
7.588643020E-1,6.828263283E0,-4.903325081E0,-2.624045134E0,8.806440210E0
7.638996210E-1,9.002198219E0,-7.671022415E0,-1.130063176E0,1.188112791E1
7.689349390E-1,6.521805286E0,-6.981492043E0,-4.098873138E0,1.039595769E1
7.739397400E-1,6.569689274E0,-8.054094315E0,-2.030282974E0,1.059015115E1
7.789750570E-1,7.115567684E0,-9.050082207E0,-1.829170108E0,1.165680723E1
7.840103760E-1,7.948749542E0,-9.557653427E0,-1.484405041E0,1.251937765E1
7.890456940E-1,8.801085472E0,-9.873687744E0,-6.512228847E-1,1.324284359E1
7.940504950E-1,9.691728592E0,-9.902418137E0,6.703764945E-2,1.385611714E1
7.990858130E-1,1.069729328E1,-9.998186111E0,8.523358107E-1,1.466704760E1
8.041211310E-1,1.131020927E1,-1.030464458E1,1.589749932E0,1.538290735E1
8.091564490E-1,1.186566353E1,-1.051533413E1,2.700659513E0,1.608290349E1
8.141612500E-1,1.242111874E1,-1.062067890E1,4.347870350E0,1.691114980E1
8.191965680E-1,1.253604031E1,-1.037168217E1,5.698200226E0,1.723930345E1
8.242318870E-1,1.282334423E1,-1.004607010E1,6.110002518E0,1.739809796E1
8.292672040E-1,1.317768574E1,-9.232041359E0,6.828263283E0,1.747876336E1
8.342720060E-1,1.357991219E1,-8.188169479E0,6.215347767E0,1.703204868E1
8.393073230E-1,1.418325043E1,-7.498639584E0,4.999093056E0,1.680431848E1
8.443426420E-1,1.426944256E1,-7.364564419E0,2.853888512E0,1.630945982E1
8.493474420E-1,1.348414421E1,-7.929595947E0,2.422932148E0,1.582944210E1
8.543827610E-1,1.279461384E1,-8.255207062E0,4.079719543E0,1.576371461E1
8.594180790E-1,1.269884586E1,-9.586383820E0,3.409343243E0,1.627215604E1
8.644228800E-1,1.046745014E1,-1.023760605E1,-2.202665508E-1,1.464324443E1
