"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.125250655E0,-1.043871999E0,9.097966552E-1,9.538499832E0,9.638484204E0
1.130285967E0,-1.005564690E0,9.385270476E-1,9.442731857E0,9.542388500E0
1.135321281E0,-8.906430602E-1,9.672574997E-1,9.442731857E0,9.533835380E0
1.140356593E0,-9.002198577E-1,9.768342972E-1,9.318233490E0,9.412442638E0
1.145361389E0,-9.385270476E-1,9.193734527E-1,9.327810287E0,9.419879263E0
1.150396702E0,-8.906430602E-1,8.810662031E-1,9.299078941E0,9.383090742E0
1.155432016E0,-9.385270476E-1,8.714894056E-1,9.356540680E0,9.443790568E0
1.160467328E0,-8.427590132E-1,8.906430602E-1,9.299078941E0,9.379571257E0
1.165472124E0,-8.619126081E-1,9.672574997E-1,9.375694275E0,9.464783334E0
1.170507437E0,-8.906430602E-1,9.768342972E-1,9.385271072E0,9.477909232E0
1.175542750E0,-7.757213712E-1,1.082179189E0,9.442731857E0,9.536143894E0
1.180578063E0,-7.182605267E-1,1.120486379E0,9.538499832E0,9.630906861E0
1.185613376E0,-6.129156351E-1,1.168370485E0,9.557653427E0,9.648289703E0
1.190618172E0,-5.267243981E-1,1.225831270E0,9.586383820E0,9.678783789E0
1.195653485E0,-5.075707436E-1,1.321599364E0,9.605537415E0,9.709304917E0
1.200688798E0,-4.309563041E-1,1.340752959E0,9.653421402E0,9.755607956E0
1.205724111E0,-4.309563041E-1,1.331176162E0,9.624691010E0,9.725863989E0
1.210728907E0,-3.734954596E-1,1.379060149E0,9.595960617E0,9.701740355E0
1.215764220E0,-2.968810201E-1,1.417367458E0,9.634267807E0,9.742493779E0
1.220799533E0,-3.351882398E-1,1.359906554E0,9.557653427E0,9.659732710E0
1.225834845E0,-2.968810201E-1,1.407790542E0,9.653421402E0,9.760049043E0
1.230839642E0,-2.106897533E-1,1.426944256E0,9.634267807E0,9.741646486E0
1.235874955E0,-2.777273953E-1,1.503558636E0,9.643844604E0,9.764300274E0
1.240910268E0,-2.681505978E-1,1.503558636E0,9.682151794E0,9.801870061E0
1.245945580E0,-3.256114423E-1,1.493981838E0,9.634267807E0,9.754851138E0
1.250950376E0,-4.213795066E-1,1.561019540E0,9.662998199E0,9.797340297E0
1.255985690E0,-4.309563041E-1,1.532289028E0,9.672574997E0,9.802670048E0
1.261021003E0,-4.309563041E-1,1.599326730E0,9.643844604E0,9.785055344E0
1.266056315E0,-4.022258818E-1,1.570596337E0,9.643844604E0,9.779176717E0
1.271061111E0,-4.501099288E-1,1.493981838E0,9.624691010E0,9.750346543E0
1.276096425E0,-3.926490843E-1,1.436521053E0,9.624691010E0,9.739221892E0
1.281131738E0,-4.692635238E-1,1.426944256E0,9.643844604E0,9.760128940E0
1.286167050E0,-4.118026793E-1,1.340752959E0,9.643844604E0,9.745303418E0
1.291171846E0,-4.501099288E-1,1.388636947E0,9.787496567E0,9.895756695E0
1.296207160E0,-4.405331016E-1,1.359906554E0,9.682151794E0,9.787107776E0
1.301242472E0,-4.405331016E-1,1.235408068E0,9.720458984E0,9.808548587E0
1.306277785E0,-4.884171486E-1,1.235408068E0,9.777919769E0,9.867750474E0
1.311313099E0,-4.405331016E-1,1.053448796E0,9.643844604E0,9.711208088E0
1.316317895E0,-5.267243981E-1,1.149216771E0,9.634267807E0,9.716854118E0
1.321353207E0,-5.458779931E-1,9.864110947E-1,9.548076630E0,9.614403619E0
1.326388520E0,-5.746083856E-1,1.034295082E0,9.557653427E0,9.630611619E0
1.331423834E0,-5.458779931E-1,9.672574997E-1,9.528923035E0,9.593432340E0
1.336428630E0,-5.746083856E-1,9.576807022E-1,9.567230225E0,9.632197117E0
1.341463942E0,-6.129156351E-1,8.427590132E-1,9.749189377E0,9.804723445E0
1.346499255E0,-6.320692301E-1,8.714894056E-1,9.816226959E0,9.875085671E0
1.351534568E0,-6.224924326E-1,7.565677166E-1,9.710882187E0,9.760180551E0
1.356569881E0,-5.458779931E-1,7.565677166E-1,9.730035782E0,9.774659780E0
1.361574677E0,-6.224924326E-1,6.512228847E-1,9.758766174E0,9.800260472E0
1.366609990E0,-5.650315881E-1,6.991068721E-1,9.797073364E0,9.838224312E0
1.371645303E0,-5.554547906E-1,6.991068721E-1,9.739612579E0,9.780456719E0
1.376680616E0,-5.841852427E-1,7.948749661E-1,9.739612579E0,9.789440832E0
1.381685412E0,-6.129156351E-1,8.140285611E-1,9.653421402E0,9.707051707E0
1.386720725E0,-5.746083856E-1,7.948749661E-1,9.691728592E0,9.741232166E0
1.391756038E0,-6.129156351E-1,7.948749661E-1,9.682151794E0,9.734041050E0
1.396791351E0,-6.416460276E-1,8.523358107E-1,9.538499832E0,9.597977131E0
1.401826663E0,-6.129156351E-1,9.385270476E-1,9.490615845E0,9.556583475E0
1.406831460E0,-5.267243981E-1,1.053448796E0,9.442731857E0,9.515901318E0
1.411866773E0,-3.447650373E-1,1.206677675E0,9.452308655E0,9.535254210E0
1.416902086E0,-2.011129409E-1,1.312022567E0,9.279925346E0,9.374372729E0
1.421937398E0,-1.149216816E-1,1.455674648E0,9.404424667E0,9.517110854E0
1.426942194E0,-1.915361360E-2,1.666364431E0,9.356540680E0,9.503788233E0
1.431977508E0,1.915361360E-2,1.886630893E0,9.385271072E0,9.573037976E0
1.437012821E0,3.830722719E-2,1.934514999E0,9.481039047E0,9.676462016E0
1.442048133E0,1.149216816E-1,2.049436569E0,9.481039047E0,9.700695782E0
1.447083447E0,1.340752989E-1,2.097320795E0,9.509769440E0,9.739222017E0
1.452088243E0,1.149216816E-1,2.183511972E0,9.567230225E0,9.813909807E0
1.457123555E0,1.244984865E-1,2.221819162E0,9.634267807E0,9.887926802E0
1.462158868E0,9.576806799E-3,2.087743998E0,9.710882187E0,9.932774011E0
1.467194182E0,4.788403213E-2,2.145204782E0,9.768342972E0,1.000123597E1
1.472229494E0,3.830722719E-2,2.135627985E0,9.931148529E0,1.015825209E1
1.477234290E0,-1.915361360E-2,2.087743998E0,1.007480049E1,1.028886033E1
1.482269603E0,0.000000000E0,2.049436569E0,1.019929886E1,1.040316718E1
1.487304917E0,-9.576806799E-3,2.001552582E0,1.027591324E1,1.046903517E1
1.492340229E0,9.576806799E-3,1.877054095E0,1.036210537E1,1.053074791E1
1.497375543E0,-9.576806799E-3,1.877054095E0,1.026633644E1,1.043652661E1
1.502380338E0,0.000000000E0,1.714248419E0,1.008437729E1,1.022904262E1
1.507415651E0,-1.915361285E-1,1.666364431E0,9.988609314E0,1.012846348E1
1.512450964E0,-2.585737705E-1,1.675941229E0,9.835380554E0,9.980498487E0
1.517486278E0,-2.777273953E-1,1.714248419E0,9.797073364E0,9.949795307E0
1.522521590E0,-3.447650373E-1,1.714248419E0,9.730035782E0,9.885904455E0
1.527526386E0,-3.351882398E-1,1.714248419E0,9.634267807E0,9.791328560E0
1.532561699E0,-3.447650373E-1,1.733402014E0,9.595960617E0,9.757356488E0
1.537597013E0,-2.968810201E-1,1.723825216E0,9.557653427E0,9.716401121E0
1.542632325E0,-2.681505978E-1,1.695094824E0,9.653421402E0,9.804784341E0
1.547637121E0,-3.160346150E-1,1.733402014E0,9.605537415E0,9.765803062E0
1.552672434E0,-2.873041928E-1,1.704671621E0,9.691728592E0,9.844696650E0
1.557707747E0,-2.777273953E-1,1.666364431E0,9.586383820E0,9.734097681E0
1.562743060E0,-3.351882398E-1,1.647210717E0,9.615114212E0,9.760946451E0
1.567778373E0,-3.543418646E-1,1.675941229E0,9.691728592E0,9.841947991E0
1.572783169E0,-3.639186621E-1,1.704671621E0,9.758766174E0,9.913216399E0
1.577818482E0,-3.639186621E-1,1.666364431E0,9.730035782E0,9.878400859E0
1.582853795E0,-4.596867263E-1,1.580173135E0,9.797073364E0,9.934329647E0
