"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.488869650E-1,7.603984833E0,2.231395960E0,1.312022567E0,8.032503749E0
9.539222780E-1,7.508216381E0,1.848323703E0,1.359906554E0,7.851048310E0
9.589575910E-1,7.144298077E0,1.532289028E0,1.455674648E0,7.450361961E0
9.639623870E-1,6.665457726E0,1.369483352E0,1.819593310E0,7.043772509E0
9.689977000E-1,6.368576527E0,1.225831270E0,2.212242365E0,6.852404363E0
9.740330130E-1,6.110002518E0,1.063025594E0,2.892195702E0,6.843022005E0
9.790683260E-1,5.985504150E0,8.331822157E-1,3.658340216E0,7.064269649E0
9.840731220E-1,5.995080948E0,4.979939461E-1,4.702212334E0,7.635430202E0
9.891084350E-1,6.177040577E0,1.819593310E-1,5.889736176E0,8.536857250E0
9.941437480E-1,6.588842869E0,-1.723825186E-1,6.617573261E0,9.339959419E0
9.991790610E-1,6.885724068E0,-4.309563041E-1,6.866570473E0,9.733894869E0
1.004183857E0,7.278373241E0,-7.374141216E-1,6.694188118E0,9.916181280E0
1.009219170E0,7.479485989E0,-9.768342972E-1,5.975927353E0,9.623337447E0
1.014254483E0,7.460332394E0,-1.283292055E0,4.865017891E0,8.998433030E0
1.019259279E0,7.105990410E0,-1.369483352E0,3.715801001E0,8.134971508E0
1.024294592E0,6.607996464E0,-1.302445769E0,2.461239338E0,7.170751796E0
1.029329905E0,6.368576527E0,-1.053448796E0,1.216254473E0,6.568698218E0
1.034365218E0,6.177040577E0,-7.182605267E-1,1.532289088E-1,6.220547208E0
1.039370014E0,5.841852188E0,-3.734954596E-1,-2.777273953E-1,5.860364183E0
1.044405327E0,5.343858242E0,-2.106897533E-1,1.915361360E-2,5.348044310E0
1.049440640E0,4.817133904E0,-2.777273953E-1,1.331176162E0,5.005391246E0
1.054445436E0,4.328716755E0,-8.140285611E-1,3.351882458E0,5.534938776E0
1.059480749E0,3.725377798E0,-1.551442742E0,5.544970989E0,6.857996617E0
1.064516062E0,3.055001259E0,-2.269703150E0,7.948749542E0,8.812899884E0
1.069551375E0,2.614468336E0,-2.882618904E0,1.014183807E1,1.086286408E1
1.074556171E0,2.518700123E0,-3.150769472E0,1.199016190E1,1.265050121E1
1.079591484E0,2.758120298E0,-3.150769472E0,1.338837624E1,1.402794333E1
1.084626797E0,3.284844637E0,-2.978386879E0,1.445140171E1,1.511634890E1
1.089662109E0,4.012681961E0,-2.767697096E0,1.486320400E1,1.564214170E1
1.094666906E0,4.568136692E0,-2.231395960E0,1.492066479E1,1.576303392E1
1.099702219E0,5.027823448E0,-1.589749932E0,1.430774975E1,1.524854145E1
1.104737532E0,5.458779812E0,-1.024718285E0,1.321599293E1,1.433564765E1
1.109742328E0,5.746084213E0,-2.873041928E-1,1.182735634E1,1.315242888E1
1.114777641E0,5.573701382E0,4.501099288E-1,1.011310768E1,1.155611064E1
1.119812954E0,5.114014626E0,1.120486379E0,8.437167168E0,9.929472550E0
1.124848267E0,4.328716755E0,1.714248419E0,7.201758862E0,8.575649660E0
1.129853063E0,3.265691042E0,2.011129379E0,6.358999729E0,7.426052580E0
1.134888376E0,2.422932148E0,2.116474390E0,5.631162167E0,6.485372108E0
1.139923689E0,1.723825216E0,1.982398987E0,5.018246651E0,5.664298594E0
1.144959002E0,1.235408068E0,1.781286120E0,4.654327869E0,5.134392004E0
1.149963798E0,9.959878922E-1,1.704671621E0,6.167463779E0,6.475763020E0
1.154999111E0,8.140285611E-1,1.848323703E0,7.479485989E0,7.747364304E0
1.160034424E0,8.810662031E-1,1.915361404E0,8.542511940E0,8.798829309E0
1.165069737E0,1.149216771E0,2.059013367E0,1.008437729E1,1.035639419E1
1.170074533E0,1.302445769E0,2.049436569E0,1.212423706E1,1.236501838E1
1.175109846E0,1.618480325E0,2.212242365E0,1.435563374E1,1.461498255E1
1.180145159E0,2.173935175E0,2.394201756E0,1.622311020E1,1.654229430E1
1.185149954E0,2.719813108E0,2.547430515E0,1.807143402E1,1.845165340E1
1.190185268E0,3.169923067E0,2.681505919E0,1.958456993E1,2.001984679E1
1.195220581E0,3.505111217E0,2.949656487E0,2.074336433E1,2.124319754E1
1.200255894E0,4.242525578E0,3.093308687E0,2.098278427E1,2.162972070E1
1.205260690E0,4.098873138E0,3.380612850E0,2.176808167E1,2.240711234E1
1.210296003E0,3.610456228E0,3.869029999E0,2.186384964E1,2.249517078E1
1.215331316E0,2.825158119E0,4.501099110E0,2.129881859E1,2.195179001E1
1.220336112E0,1.752555609E0,5.276820660E0,2.038902092E1,2.113358610E1
1.225371425E0,4.884171486E-1,5.861005783E0,1.911530685E1,1.999962240E1
1.230406738E0,-6.320692301E-1,6.033388138E0,1.781286049E1,1.881752595E1
1.235442051E0,-1.580173135E0,5.870582581E0,1.629014778E1,1.738762783E1
1.240446847E0,-2.422932148E0,5.382165432E0,1.452801609E1,1.568124856E1
1.245482160E0,-3.150769472E0,5.008669853E0,1.284249783E1,1.414015107E1
1.250517473E0,-3.562572241E0,4.970362663E0,1.129105568E1,1.284073068E1
1.255552786E0,-3.897760391E0,5.276820660E0,9.998186111E0,1.195830665E1
1.260557582E0,-3.974374771E0,5.765237808E0,9.002198219E0,1.140496359E1
1.265592895E0,-4.003105164E0,6.263231754E0,7.920019150E0,1.086184267E1
1.270628208E0,-3.955221176E0,6.646304131E0,7.058106422E0,1.047062555E1
1.275663521E0,-3.869029999E0,6.742072105E0,6.253654957E0,9.976629176E0
1.280668317E0,-3.888183594E0,6.646304131E0,5.765237808E0,9.619215001E0
